날짜,차분,수익율,로그수익율
2023-08-16,-300.0,-0.004457652303120341,-0.004467617259716045
2023-08-17,-300.0,-0.004477611940298498,-0.004487666469388017
2023-08-18,-400.0,-0.005997001499250421,-0.006015055729761257
2023-08-21,300.0,0.004524886877828038,0.004514680354526613
2023-08-22,0.0,0.0,0.0
2023-08-23,500.0,0.007507507507507505,0.007479466431292653
2023-08-24,1100.0,0.016393442622950838,0.016260520871780326
2023-08-25,-1100.0,-0.016129032258064502,-0.01626052087178029
2023-08-28,-300.0,-0.0044709388971684305,-0.004480963435036092
2023-08-29,0.0,0.0,0.0
2023-08-30,300.0,0.004491017964071808,0.0044809634350360195
2023-08-31,-200.0,-0.0029806259314456574,-0.0029850768434533967
2023-09-01,4100.0,0.06128550074738426,0.05948090990713275
2023-09-04,200.0,0.0028169014084507005,0.0028129413766146577
2023-09-05,-500.0,-0.0070224719101124045,-0.007047245515403056
2023-09-06,-700.0,-0.00990099009900991,-0.009950330853168092
2023-09-07,400.0,0.005714285714285783,0.005698021114637796
2023-09-08,-100.0,-0.0014204545454545858,-0.0014214643473775366
2023-09-11,500.0,0.007112375533428139,0.007087201883054831
2023-09-12,-300.0,-0.004237288135593209,-0.004246290881451097
2023-09-13,400.0,0.005673758865248235,0.005657723719858855
2023-09-14,800.0,0.01128349788434413,0.011220314067492842
2023-09-15,300.0,0.004184100418409997,0.004175371410480592
2023-09-18,-1800.0,-0.025000000000000022,-0.025317807984289897
2023-09-19,-400.0,-0.005698005698005715,-0.005714301263438664
2023-09-20,-200.0,-0.002865329512893977,-0.00286944242795282
2023-09-21,-700.0,-0.010057471264367845,-0.010108389320761106
2023-09-22,-100.0,-0.0014513788098693414,-0.0014524330803148745
2023-09-25,600.0,0.008720930232558155,0.008683122573460857
2023-09-26,-800.0,-0.011527377521613813,-0.011594332780919257
2023-09-27,-200.0,-0.002915451895043719,-0.0029197101033347503
2023-10-04,-900.0,-0.013157894736842146,-0.01324522675002068
2023-10-05,-800.0,-0.011851851851851891,-0.011922644956906146
2023-10-06,-700.0,-0.010494752623688153,-0.010550210895152486
2023-10-10,400.0,0.0060606060606061,0.006042314455962662
2023-10-11,1800.0,0.027108433734939652,0.026747508367028144
2023-10-12,700.0,0.01026392961876832,0.010211613170196462
2023-10-13,-900.0,-0.013062409288824406,-0.01314847284350621
2023-10-16,-700.0,-0.010294117647058787,-0.010347468525424541
2023-10-17,2100.0,0.031203566121842385,0.03072663086207659
2023-10-18,1100.0,0.015850144092218965,0.015725842305464095
2023-10-19,-1000.0,-0.014184397163120588,-0.014285957247476541
2023-10-20,-700.0,-0.010071942446043147,-0.010123007631448452
2023-10-23,-400.0,-0.005813953488372103,-0.00583092031079321
2023-10-24,100.0,0.0014619883040936088,0.0014609206396748698
2023-10-25,-500.0,-0.007299270072992692,-0.007326040092072898
2023-10-26,-1300.0,-0.019117647058823573,-0.01930275225452871
2023-10-27,600.0,0.008995502248875464,0.00895528372910399
2023-10-30,0.0,0.0,0.0
2023-10-31,-400.0,-0.005943536404160454,-0.005961269516499334
2023-11-01,1700.0,0.025411061285500747,0.025093567597656775
2023-11-02,1100.0,0.016034985422740622,0.015907783034638755
